,Claps,Creator,Date,Image count,ReadingTime,Subtitle,Tags,Title,Topics,WordCount
60,4217.0,230e8f1c6e4c,1604384116520.0,8.0,6.027672955974843,Let’s decipher where they fail and what can be done about it!,", UX, Branding, Logo Design, Icons, Usability",Why Google’s new app icons are pretty bad!,", Visual Design, Design, UX",1297.0
61,2422.0,fde1eb3eb589,1606240890369.0,17.0,7.067924528301887,"Another year, another UI trend is becoming increasingly popular among designers. Do you know it yet?",", Design, UI, UX, User Experience, Ts",Glassmorphism in user interfaces,", Visual Design, Design, UX",1449.0
62,2143.0,2067a89cc386,1605861028125.0,36.0,13.199056603773585,A collection of 34 tips to help improve your designs instantly.,", Design, UI, Visual Design, Product Design, UX",The UI & UX tips collection — volume one,", Visual Design, Design, UX",2822.0
63,1490.0,ea241d603214,1605656351423.0,5.0,12.233333333333334,A how-to for fundamental skills every designer should hone,", Visual Design, Design, UI, UX, Product Design",10 Essential Skills for the Modern UI & UX Designer,", Visual Design, Design, UX",3021.0
64,58.0,b7391dbb2f61,1606917778057.0,14.0,11.223584905660376,Nadieh Bremer and Shirley Wu wield data to explore their curiosity and pique ours,", Dataviz, Data Art, Data Visualization, Collaboration, Storytelling",Drawing Out ‘Data Sketches’,", Books, Visual Design",2590.0
65,31.0,9f43ac803eb0,1606916458122.0,2.0,1.8738993710691823,At the start of almost any web project (online product / marketing website) I start implementing bootstrap. In the design I take into…,", UX Design, UX, UI, Navbar, Bootstrap",A quest for the ideal Navbar Height,", Visual Design",395.0
66,45.0,ef99ed349ec7,1606910637124.0,18.0,8.110377358490567,"Motion has a profound impact on the user experience of digital products, but if interface elements don’t exhibit basic motion design…",", UX, Animation, UI, Visual Design, Motion",A guide to Motion Design principles,", Visual Design, Design, UX",1712.0
67,46.0,a2cd5a6feb71,1606912103558.0,5.0,7.372955974842767,Tips for creating and successfully implementing a design system.,", Design, Design Systems, Tips, UI Design, UI",8 things I learnt building a design system.,", Visual Design, Design",1733.0
68,81.0,2f494e649df5,1606856343879.0,26.0,9.955660377358491,How we created the Lyft Product Language attributes and component libraries,", Figma, Design Systems, Best Practices, Lyft Product Language, Tips And Tricks",Building a Design System Library,", Visual Design, Design",2095.0
69,58.0,1aa4f5136c46,1606863274534.0,10.0,5.725471698113208,"Over the last few months, I’ve spent a great deal of time browsing through awwwards collections, looking for inspiration to update my…",", Web Design, Visual Design, Brutalism, UI, UX",I browsed through 100+ brutalist websites; here’s what I learned,", Visual Design, Design, UX",1186.0
70,20.0,b71a270ebc5a,1606765367445.0,9.0,7.079245283018868,How we at the U.S. Digital Service helped the U.S. Citizenship and Immigration Services implement a mega-volume document capture service…,", Immigration, User Experience, Government, Design, USA",Improving the U.S. Electronic Immigration System … with QR Codes,", Visual Design, Politics",1558.0
71,30.0,a1eb422eb764,1606906507596.0,4.0,5.941509433962264,Wireframes aren’t obsolete. They aren’t too concrete. And they definitely aren’t a waste of time.,", Design, UX Design, Design Process, Wireframe, Product Design",Understanding the potential of wireframes,", Visual Design, Design, UX",1389.0
72,78.0,d69462969f64,1606826959314.0,3.0,5.376415094339622,Delivering excellence versus overdelivering,", Design, Project Management, Productivity, UX, Product Design",They only asked for fries: Stop adding unnecessary scope to your projects,", Visual Design, Freelancing, Design, Product Management",1279.0
73,45.0,540cb5bb620e,1606819435565.0,5.0,7.108805031446541,Some simple UX gems can act as powerful heuristics to improve the usability of our designs,", Case Study, UX, Design, Psychology, Mobile",Using Doherty’s Threshold Law of UX to Design Special Olympics World Games 2019 App,", Visual Design, Design",1663.0
74,48.0,b2bcea6a2c4f,1606877280053.0,1.0,4.430188679245283,How Neon Maximalism took over and why it needs to die.,", Culture, Graphic Design, Art, 80s, Aesthetics",Life by Design,", Visual Design, Art, Marketing, Design",1121.0
75,82.0,dedd591eddd4,1606780827386.0,7.0,5.208490566037736,Product designers and product managers don’t always get along but here’s how to fix it.,", Product Design, Design Process, Product Management, Design, UX","Why your PM is just the worst, and why it might be your fault",", Visual Design, Design, UX, Product Management",1102.0
76,274.0,e229ba532c48,1606779841694.0,21.0,9.452830188679245,"I examined Revolut’s solutions by using Nielsen’s 10 heuristics. I included 3 more aspects: icons&labels, empty states & data…",", Heuristic Evaluation, Usability, UX, User Experience, Product Design",Nielsen’s 10 usability heuristics illustrated by Revolut’s solutions,", Visual Design, Design, UX",2028.0
77,172.0,8a52a966945c,1606791379535.0,10.0,5.076415094339623,The likely reason why and four ways Apple could improve,", UX Design, Product Design, Software Design, Product Management, Design Process",UX Cruft: iPhone Apps Are Still Crummy On iPad,", Visual Design, UX, Gadgets",1014.0
78,111.0,fc4d79c6fb01,1606779190630.0,8.0,4.740880503144654,This eerie level is different than the rest; it has also sparked a range of fascinating reactions from fans,", Gaming, Psychology, Design, Nintendo, Features",This Super Mario 64 Level Freaks People Out,", Gaming, Culture, Visual Design, Art, Design, Psychology, Technology",956.0
79,69.0,d3ed5864d82d,1606770263947.0,5.0,12.108805031446542,Do you have any advice regarding how to (or how not to) network with recruiters?,", UX Design, UI Design, Bootcamp, Design, Interviewing",Frequently Asked Questions About My UX Bootcamp Experience,", Visual Design, Design",2988.0
92,2648.0,e4dc035a1f32,1606780895317.0,5.0,3.7125786163522014,"In Japan, there’s a different perspective on vegetables",", Food, Cooking, Culture, Vegetables",The Best Vegetable Cooking Tip I’ve Ever Received Was Also the Simplest,", Culture, Food",763.0
93,2317.0,b9dd4605159c,1606216999125.0,2.0,6.6889937106918245,"The Ellen debacle has been well documented. And by the Ellen debacle, I mean the bruhaha in which she has pretended to be nice and kind…",", Discrimination, Misogyny, Workplace, Patriot Act, Hasan Minhaj",Are we just not gonna talk about Hassan Minhaj?,", Culture, Feminism, Equality",1671.0
94,70.0,e0df683b98c4,1606916716598.0,1.0,3.8226415094339625,For art to evolve it requires new perspectives.,", Movies, Humor, Culture, Fitness, Film",A Bodybuilder Goes to the Movies,", Culture",960.0
95,50.0,146ead66b89c,1606916645193.0,6.0,6.7047169811320755,"It can be customary that women on screen are represented as an IMAGE of femininity, these 5 films, however, delve deep into the female…",", Film, Feminism, Culture, Society, Representation","5 Films About Femininity, Which Also Pass the Bechdel Test.",", Culture",1525.0
96,0.0,ac581180ec46,1606916628233.0,2.0,3.6210691823899372,A satisfying revenge movie in the vein of John Wick,", Movies, Movie Review, Peppermint, Revenge, Film",Peppermint (2018): A Review,", Culture",858.0
97,63.0,c691f86f6a89,1606915976370.0,2.0,4.628616352201258,1. Maintain relevancy in pop culture,", Marketing, Marketing Strategies, Fashion, Branding, Case Study",6 Lessons From Gucci on Organic Digital Visibility,", Culture, Marketing",1125.0
98,0.0,79e32e0d50d0,1606915079954.0,2.0,37.462578616352204,How Keynes became so influential — despite being so hard to pin down.,", Economics, Keynes, Keynesian Economics, Eugenics, Liberalism",Zach Carter on the Life and Legacy of John Maynard Keynes (Ep. 110),", Culture",9826.0
99,526.0,ae021c826281,1606606318704.0,3.0,5.829245283018868,How one brand fell flat — and how you can avoid doing the same.,", Marketing, Influencer Marketing, YouTube, Pop Culture, Business Strategy",Markiplier’s “Del Monte Is Dead to Me” Is an Influencer Marketing Masterclass,", Culture, Marketing",1399.0
100,64.0,179cfd19a375,1606892016529.0,5.0,5.116352201257861,How Harmonix’s beat juggling romp empowers players through creativity over challenge,", Music, Gaming, Videogames, Features, Culture",Fuser: Remixing the Rhythm Game,", Gaming, Culture, Art, Music, Makers, Technology",1135.0
101,56.0,83db27640824,1606892543266.0,4.0,4.386792452830188,"A 1,500-year-old game is now conquering the internet",", Chess, Gaming, Esport, Culture, Features",The 2020 Chess Boom,", Gaming, Culture, Lifestyle, Media, Society",977.0
102,20.0,585535aee09e,1606891111824.0,8.0,11.642767295597483,"In a difficult year, gaming has provided comfort for many, and seen massive expansion as an industry",", Gaming, Features, Technology, Business, Videogames",Video Games in 2020,", Gaming, Culture, Business, Gadgets, Technology",2785.0
103,191.0,295258f6269d,1606919502206.0,4.0,15.232075471698112,The Netflix film wants us to believe we’re powerless against social media when solutions exist.,", Tech, Social Medi, Psychology, Behavior Change, Growth Hacking",What The Social Dilemma Gets Wrong,", Culture, Film, Social Media",3851.0
104,0.0,d2c7a866aa36,1605213256561.0,8.0,12.631446540880503,Part 1 of a 25-part series looking back at every Simpsons video game ever made.,", Television, Video Games, Game Development, The Simpsons, Retro Gaming",How The Simpsons Conquered Arcades in Less Than a Year,", Gaming, Culture, TV",3047.0
105,121.0,d8cd332d8e8c,1606890773083.0,4.0,15.5,"In 2020, Venmoing strangers in need became a radical act of support — and trust",", Venmo, Technology, Money, Culture, Charity",The Giving Apps: How Venmo and Cash App Upended a Century-Old Charity Model,", Money, Digital Life, Culture, Technology",3922.0
106,150.0,5cc8b2955da8,1606860492134.0,1.0,2.539622641509434,The suit claims the defendants have breached their fiduciary duties by ‘perpetrating and permitting’ discrimination,", Pinterest, Technology, Business, Tech, Culture",Pinterest Shareholders Sue Company Executives Over Years of Alleged Workplace Discrimination,", Culture, Business, Social Media, Technology, Equality",620.0
107,4.0,86dccec30e82,1606861976566.0,1.0,3.7358490566037736,From the Nutcracker to Pop Up Magazine,", Events, Entertainment, Culture, Coronavirus",The Pandemic’s Latest Trend: Boxed Events Delivered to Your Doorstep,", Culture, Business, San Francisco",937.0
108,0.0,d121cfd0c0ec,1606919706899.0,8.0,6.925786163522012,"Central Brooklyn holds a huge Afro-Caribbean population, making it particularly interesting to move here the weekend after George Floyd’s…",", Brooklyn, History, Caribbean, BlackLivesMatter, Immigration",Afro-Caribbean Brooklyn & BLM,", Culture, Race, Nonfiction, Equality",1535.0
109,0.0,ed3b07e7bda2,1606853314041.0,4.0,5.220754716981133,"The Courtroom drama, as a genre, rests on the laurels of its message. It’s what sets the weak from the chaff, the milquetoast from the…",", Film",It’s All In The Message,", Culture",1198.0
121,2736.0,995ca72e9e5a,1606341173208.0,1.0,11.630188679245283,How the must-have hipster vessel of DIY authenticity also became a foreboding signal of the economy.,", Business, Pandemic, Mason Jars, Food, History",Why Everyone’s Suddenly Hoarding Mason Jars,", Society, Business, Food, History",3029.0
122,2503.0,f09b75fc322,1605621755634.0,1.0,3.150943396226415,Our restaurant has been open at full capacity for weeks — even indoors,", The Way We Work Now, Restaurants, Food, Florida, Coronavirus",I Work at a Restaurant in Florida Where Customers Think the Coronavirus Is a Hoax,", Coronavirus, Society, Business, Food",782.0
123,1235.0,10cf492e476a,1606504536787.0,56.0,15.138679245283019,"In January 2020, I shared the story of Abhinav Goswami, who decided to bring to America the gifts of ancient India — extraordinary health…",", Agriculture, Lifestyle, Environment, Nature, Culture","Far away from India, a Vedic ecosystem rises in Texas Gaushala",", Culture, Food, Nonfiction, History, Outdoors",3071.0
124,0.0,dabe60ce38d5,1606915467209.0,1.0,5.5396226415094345,"How Jollibee comfortably holds the hearts of many Filipinos, wherever in the world they may be.",", Business, Marketing, Entrepreneurship, Culture, Startup",The Local Fast Food Chain That Dominated McDonald’s in the Philippines,", Business, Food",1415.0
125,75.0,ff716e2208ac,1606880601088.0,2.0,1.998427672955975,How to make this delicious side,", Cooking, Recipe, Food, American, Foodies",Best-Ever Garlic Bread,", Food",428.0
126,1.0,3e891d10f933,1606910574658.0,2.0,4.368238993710692,We have the vaccine. Why do over a million US residents get sick each year?,", Health, Science, Vaccines, Medicine, Farming",Why Hasn’t a Vaccine Stopped Salmonella?,", Food, Science, Health",1056.0
127,38.0,5c1b09629497,1606908015859.0,1.0,11.283018867924527,"Before COVID-19 I truly thought I understood the full meaning of the phrase “I don’t feel like cooking.” Friends, I was wrong.",", Cooking, Food, Pandemic, Lockdown, Meal Planning","I Cooked Everything We Ate For Eight Months, Here’s What I Learned",", Lifestyle, Food, Self, Family",2937.0
128,0.0,820bb9ddc98b,1606849422806.0,1.0,7.867924528301887,American Families are struggling to afford food and being forced to decide which basic needs they can afford and which they will go…,", Early Child Development, Rapid Ec Project, Covid 19, Food Insecurity, Health Data",Facing Hunger: The Weight of the Pandemic Is Falling on American Families,", Food, Equality",2032.0
129,0.0,a3f00444651b,1606859066703.0,1.0,3.1735849056603773,"Instant, Active Dry, Rapid-Rise, Quick-Rise, Compressed — Aren’t they all just yeast?",", Recipes For Cooking, Cooking, Cooking Tips, Baking, Bread","Active Dry, Instant, Quick Rise — What’s In A Name? — The Somm Chef",", Food",788.0
130,125.0,ebc10d4fc441,1606880443721.0,1.0,2.8000000000000003,Making layer cakes has never been so easy (or delicious)!,", Food, Recipe, Baking, Dessert, Cake",This Mint Chocolate Layer Cake Only Requires One Pan,", Food",689.0
131,69.0,1378af7d178e,1606902852367.0,1.0,4.928301886792453,Putting Netflix Documentary Science To The Test,", Vegan, Veganism, Healthy Lifestyle, Healthy Eating, Plant Based",Going Vegan When Your Favorite Food Is Steak,", Lifestyle, Food",1253.0
132,55.0,96fb89a26916,1606872086692.0,1.0,4.0150943396226415,Embrace denial and make this Texas Pecan Jalapeno Cheese Ball,", Food, Cooking, Humor, Cheese, Recipe",What To Do When You’ve Gained Weight and Even Your Yoga Pants Don’t Fit?,", Food",1011.0
133,314.0,85b5119b358b,1606867565310.0,7.0,4.597169811320755,"A bi-monthly column featuring all things food, from food trends to food science to recipes for those who love food but don’t like to cook.",", Food, Cooking, Innovation, Ideas, Drinks",What’s Cooking? Food Creations and Innovations.,", Food",940.0
134,119.0,56f342167364,1600464192624.0,4.0,4.666037735849057,"As I tend my scoby, I reflect on the ethics of relationships between people and the land.",", Opinion, Indigenous, Lifestyle, Food, Equality",Kombucha as Treaty,", Food, Family, Equality",1051.0
135,178.0,2e6b51404efb,1601593398774.0,12.0,9.093396226415095,"Cattle ranchers keep burning the Amazon, but supporting sustainable food producers can help conserve it.",", Food, Lifestyle, Environment, Indigenous, Agriculture",Protect the Amazon Rainforest by Eating These 5 Foods,", Food, Climate Change",2052.0
136,22.0,9da1ddc1885c,1606836551909.0,1.0,4.524528301886793,“X” hits the spot,", Food, Cookie, Baking, Recipes, Kitchen",A Cookie Treasure Map,", Food",1146.0
137,200.0,386c4fa982d2,1606741326092.0,5.0,3.1729559748427674,"Originated in India, the eggplant is loved around the world!",", Food, Foodies, India, Recipe, Vegan",Three Mouthwatering Eggplant Recipes,", Food",620.0
138,237.0,e4dc035a1f32,1606832177178.0,5.0,3.5314465408805034,Embrace ichibutsu zentai and worry less about how to eat,", Food, Health, Cooking, Culture, Lifestyle",Learn the Most Balanced Way to Eat From a Culture That Lives Longest,", Food",715.0
139,188.0,32f20db79502,1606830334308.0,1.0,5.6000000000000005,You all are on your own for Christmas.,", Cooking, Thanksgiving, Food, Christmas, Holidays",I’m Done Cooking For the Rest Of The Year,", Culture, Lifestyle, Food, Self",1431.0
150,906.0,95d15f3a8833,1606076084864.0,1.0,10.584905660377357,What Crosses Your Lips Pre-Frames Your Mind,", Mindfulness, Philosophy, Self Improvement, Life Lessons, Positive Thinking",Why The Buddhists and Aztecs Insist That Happiness Follows The Words You Say,", Culture, Language, Philosophy",2752.0
151,1665.0,60f924f7b5fc,1605857211059.0,1.0,4.886792452830189,"#1 — Every time I see someone with a new haircut, I’m just dying to tell them ‘Naeeman!’ But I can’t.",", Culture, Language, Travel, Society, Love",Top 5 Weird and Beautiful Arabic Expressions That Don’t Exist in English,", Culture, Language",1242.0
152,961.0,1e11a13afbec,1605882060004.0,1.0,3.807547169811321,"As a result, neither do you",", Names, Family, German, Podcast",I Don’t Know How To Pronounce My Last Name,", Language, Self, Family",956.0
153,1153.0,d02ca71a13d6,1605790944881.0,1.0,7.320754716981132,But I wonder if anything less will bring about the kind of change we need,", Feminism, Equality, Society, Culture, Social Justice",I’ve Become That Annoying Woman Who Challenges Everything,", Language, Society, Feminism, Equality",1887.0
154,99.0,f64db71f43bc,1606842006883.0,1.0,4.1169811320754715,#3 To have other cats to whip,", Language, French, France, Cats, Expression",7 Common and Funny French Expressions Using the Word ‘Cat’,", Language, Writing, Humor",1038.0
155,119.0,7bd7f8eec0d8,1606856287982.0,1.0,6.471698113207547,Women shouldn’t have to micromanage their speech to sound more like men,", Feminism, Language, Women, Equality, Psychology","No, Women Shouldn’t Need to Change How They Speak to be Taken Seriously",", Language, Work, Feminism, Equality",1662.0
156,10.0,8f9c615a37b,1606632426647.0,6.0,5.882075471698113,"In the 14th Century, after centuries in the darkness, English resurfaced in the historical record. But the language that emerged in…",", Linguistics, Language, History, English, British History","The Story of English, Part II: A Language Reborn",", Language, History",1307.0
157,1.0,b75c6708ff8e,1606818272448.0,1.0,4.513207547169811,"My intercultural marriage is never dull, but parts of it are mired in translation.",", Relationships, Marriage, Intercultural, Language Translation, Chinese Culture",There’s a Chinese Saying for That,", Culture, Language, Relationships",1143.0
158,50.0,71b391ace9bd,1606752061985.0,3.0,6.7349056603773585,"In the words of Angela Carter, “Language is power, life and the instrument of culture, the instrument of domination and liberation.”",", Language, Neuroscience, History",WDYT? How did we get from “old” English to where we are today?,", Language, Psychology",1639.0
159,0.0,15b455f68399,1606670962788.0,1.0,7.950943396226415,"“Speak like a native”, they say.",", English, Ingles, Confidence, Toefl, Language",The #1 Most Misunderstand Expression Of All Time,", Language, Education, Self",2054.0
160,193.0,f4b59138961f,1606755731189.0,1.0,5.166037735849057,Mondelēz promises humaning over marketing in their latest botched campaign,", Business, Marketing, Advertising, Social Media, Failure",Why ‘Humaning’ Is the New Marketing Mantra,", Language, Marketing",1316.0
161,0.0,45f182726ee2,1606592935967.0,1.0,5.977358490566038,A few tips for those self-studying the language.,", Japanese, Language Learning, Language, Tips, Learning",Things I’ve learned from struggling with Japanese,", Language, Education, Self",1531.0
162,35.0,b1750ea2e94d,1606917437612.0,4.0,6.654716981132076,"In Italy, signs about face masks can contain forty words in bureaucratese. What reasons can we find for this in the Italian society?",", Italy, Italiano, Language, Italia, Communication",Why Italians use dozens of words for simple instructions,", Language, Travel",1578.0
163,169.0,d31283c8f945,1606478551189.0,5.0,3.938993710691824,"Sabir, the Mediterranean lingua franca",", History, Language, Culture, Mediterranean, Slavery","The Language of Merchants, Pirates, and Slaves",", Language, History",823.0
164,56.0,e32777c86af,1606459585245.0,1.0,4.0150943396226415,"Chesters and hamptons and burghs, oh my",", Language, England, Places, Linguistics, UK",The Origins of UK Place Names,", Language, History",1011.0
165,5.0,e32777c86af,1606624002586.0,12.0,5.678301886792452,An é seo an saol fíor?,", Irish, Language, Language Learning, Gaeilge, Irish Language",Irish Gaelic Irregular Verbs,", Language, Writing",1147.0
166,461.0,69f212a865e4,1606313843761.0,1.0,4.483018867924528,I am not your ally; I am what you need me to be,", Allyship, Social Justice, Activism, Privilege, Race",The Idea of Allyship Needs to End,", Culture, Language, Society, Equality",1135.0
167,471.0,11b874fd5924,1606311167946.0,1.0,2.316981132075472,The best tone of voice is your customer’s tone of voice,", Writing, Tone Of Voice, Branding, Brand Strategy, Marketing","Good marketing shouts, but great marketing listens",", Language, Marketing",561.0
